id,seller_name,category_main,category_sub,price_ori,price_actual,item_rating,total_rating,total_sold,favorite,discount_pct,price_band,rating_bucket,sales_per_rating
37cd6cd34975639da95784a2aab91d6d,semutonlinestore,Health & Beauty,Eye Care,1.0,0.3,5.0,221.0,221.0,52.0,70.0,<RM20,30-1000,1.0
f629e6bd44e7839bf9f215da30cdfddd,xtrah20racing.os,Automotive,"Tyres, Rims & Accessories",0.79,0.76,5.0,72.0,72.0,35.0,3.7974683544303827,<RM20,30-1000,1.0
a0574de66e244bdc669266f0af243f55,armieismail,Men Shoes,Others,5.99,4.5,4.6,12.0,12.0,7.0,24.874791318864776,<RM20,0-30,1.0
754cb656831a3b6dc70a2d4219e4eb74,ssuperdeal.com.my,Home Appliances,Vacuum,2699.0,1469.0,4.9,792.0,792.0,3900.0,45.57243423490181,RM300+,30-1000,1.0
01321b1765d23a32060965edee1d6cfd,shoeswholesalermalaysia,Women Shoes,Flat Sandals & Flip Flops,10.99,2.5,4.9,2200.0,2200.0,530.0,77.25204731574158,<RM20,1000-5000,1.0
8d84bfe738d9a8f0200a87db64935fd7,eucerin.my,Health & Beauty,Skincare,138.0,124.2,4.9,191.0,191.0,406.0,9.999999999999998,RM100-300,30-1000,1.0
ab5386f27d166c45b43888678688030f,rezekiramai2,Health & Beauty,Eye Care,0.2,0.2,4.9,295.0,295.0,70.0,0.0,<RM20,30-1000,1.0
c90ce22d8dab0f47ac05ff2df975f1ed,peixingliao,Home Appliances,Cooling & Heating,45.0,21.8,4.9,13400.0,13400.0,9900.0,51.55555555555556,RM20-50,10000+,1.0
93ed8cf0440c8a2c9d7b2333ac82eb27,mjliving,Baby & Toys,Kids Health & Skincare,29.9,0.59,4.9,141.0,141.0,35.0,98.02675585284281,<RM20,30-1000,1.0
6a2c9266b30fdfa5c04ce453d01c14f6,cloudcakedecoration66,Groceries & Pets,Baking Supplies,0.6,0.6,4.9,53.0,53.0,46.0,0.0,<RM20,30-1000,1.0
2d0121d119daf31ce5f17f185aec3ff2,pinkytee93,Health & Beauty,Others,65.0,65.0,5.0,21.0,21.0,7.0,0.0,RM50-100,0-30,1.0
58793389c79fe5b6e3d5d871c2e13bfe,emurah,"Games, Books & Hobbies",Collectibles & Memorabilia,10.0,1.59,4.9,628.0,628.0,264.0,84.1,<RM20,30-1000,1.0
465174027331eb89ca8f2f6b2080290c,ikami.design,Home & Living,Bedding,1.2,1.2,4.9,75.0,75.0,17.0,0.0,<RM20,30-1000,1.0
b7557209fb7982c7f9c1bc3ae18db13f,letteringbyheart,Tickets & Vouchers,Services,0.3,0.27,5.0,112.0,112.0,166.0,9.999999999999991,<RM20,30-1000,1.0
